A.;
A.A.A.;
Aaglander;
Abadal;
Abadal-Buick;
ABAM;
Abarth;
Abbey;
Abbott-Detroit;
A.B.C.;
Aberdonia;
Abingdon;
Able;
AC;
Academy;
Acadian;
Accary;
Accles-Turrell;
Ace;
Achilles;
Acrea;
Acura;
Adam;
Adami;
Adams;
Adams-Farwell;
Adamson;
Ader;
ADI;
ADK;
Adler;
AEG;
AEM;
Aero;
Aeroford;
Aerospeed;
AFM;
Africar;
AGA;
AGEA;
Ageron;
AGR;
Aguzzoli;
Aiglon;
AIL;
Ailloud;
Ailsa-Craig;
Airedale;
Airscoot;
Airway;
Aixam;
Ajams;
Ajax;
A.J.S.;
Akkumulatoren;
Aksai;
Alamagny;
Alan;
Alba;
Albany;
Albar;
Albatros;
Albert;
Albion;
Albl;
Albruna;
ALCA;
ALCO;
Alcyon;
Alda;
Alesbury;
a:level;
Alfa;
ALFA;
Alfi;
Allard;
Allard-Latour;
Alldays;
Allen;
Alliance;
Allright;
Allstate;
Allwyn;
Alma;
Almac;
Alpha;
Alphi;
Alpina;
Alpine;
Alta;
Altena;
Altmann;
Alva;
Alvarez;
Alvechurch;
Alvis;
AM;
A.M.;
Amazon;
Amber;
AMCO;
American;
Americar;
AMI;
Amilcar;
Amiot-Peneau;
AMO;
Amor;
Ampère;
Amphicar;
Amuza;
AN;
Anadol;
Anchi;
Anderheggen;
Anderson;
Andre;
André;
Andreas;
Angeli;
Angkor;
Anglo-Dane;
Angus-Sanderson;
Anhui;
Anker;
Ansaldi;
Ansaldo;
Ansbach;
Anteros;
Antoine;
Antoinette;
Antonietti;
Anzani;
Apache;
Apal;
Apex;
Apollo;
Apperson;
Aquila;
Arab;
Arabian;
Arbee;
Arbenz;
ArBenz;
Archer;
ARCO;
Arden;
Ardent;
Ardex;
AREX;
Argo;
Argon;
Argonaut;
Argonne;
Argus;
Argyll;
ARH;
Ariane;
Ariel;
Ariès;
Arimofa;
Arista;
Armstrong;
Armstrong-;hitworth
ARNA;
Arno;
Arnold;
Arnolt;
Arnolt-Bristol;
Arnott;
ARO;
Arola;
Arrol-Johnston;
Arros;
Artega;
Artés;
Arzac;
AS;
ASA;
Asardo;
Ascari;
Ascort;
Ascot;
Ashby;
Asheville;
Ashley;
Ashok;
Ashton-Evans;
Asia;
Äskulap;
ASL;
ASLK;
Asquith;
ASS;
Astatic;
Aster;
Aston;
Astra;
Astral;
Asüna;
Atalanta;
Athmac;
Atholl;
Atlantic;
Atlas;
Atlas-Knight;
Atomette;
ATS;
ATT;
Attica;
Åtvidaberg;
Auburn;
Audax;
Audi;
Audibert-Lavirotte;
Augé;
Aurea;
Aurora;
Aurore;
Austin;
Austin-Healey;
Austral;
Australian;
Australis;
Austro-Daimler;
Austro-Fiat;
Austro-Grade;
Austro-Tatra;
AUTHI;
Auto;
Autobianchi;
Autobleu;
Autocar;
Autocars;
Autocrat;
Autoette;
Autogear;
Automeccanica;
Auto-Mixte;
Automobilette;
Automotette;
Automoto;
Automotor;
Autorette;
Autotrix;
Autovia;
Autram;
Auverland;
AV;
Avanti;
Averies;
Averley;
Avolette;
Avro;
Avtokad;
A;E
A;S
Awtowelo;
A;Z
Baboulin;
Baby;
BAC;
Badenia;
Badminton;
Baer;
Baguley;
Baijah;
Bailey;
Bailleau;
Baille-Lemaire;
Baillereau;
Bailleul;
Baja;
Bajaj;
Baker;
Balaton;
Balbo;
Balboa;
Balkania;
Ballot;
Baltijas;
Balzer;
Bambino;
Bancroft;
Bandini;
Bangert;
Banner;
Bantam;
Baojun;
Barcar;
Barclay;
Bardon;
Barkas;
Barley;
Barnard;
Barré;
Barreiros;
Barron-Vialle;
Basilevski;
Bassett;
Basson's;
Batten;
Bauchet;
Baudier;
Baudouin;
Baudouin-Radia;
Baughan;
Baumann;
Baur;
B.A.;.
Bayley;
Bayliss-Thomas;
BB;
Beacon;
Bean;
Bearcat;
Beardmore;
Beatrix;
Beauford;
Beaumont;
Béchereau;
Beck;
Beckmann;
Bédélia;
Bedford;
Beechcraft;
Beeston;
BEF;
Beggs;
Bégot;
Beijing;
Beijing-Hyundai;
Beijing-Jeep;
Bekka;
Bel;
Belcar;
Belga;
Belgica;
Bell;
Bellanger;
Bellier;
Belsize;
Belsize-Bradshaw;
B.Engineering;
Benjamin;
Benois;
Benova;
Bentall;
Bentley;
Benz;
Berard;
Berg;
Bergé;
Bergmann-Metallurgique;
Berkeley;
Berliet;
Berna;
Bernardet;
Bernardi;
Berolina;
Berrien;
Bersey;
Bertone;
Bertoni;
Bertrand;
Besseyre;
Besst;
B.E.T.;
Beverley-Barnes;
BF;
B.F.;
BFB;
BGS;
Bianchi;
Bicyclic;
Biddle;
Biene;
Bifort;
Bignan;
Bij;
Bijou;
Billard;
Billings-Burns;
Bioplastic;
Biota;
Birch;
Birchfield;
Birkin;
Birmingham;
Biscúter;
Bitter;
Bizzarrini;
Bjering;
Black;
Blackburn;
Blake;
Bleichert;
Blériot;
Blériot-;hippet
Blitz;
Bloomquist;
BMC;
BMF;
BM;
B.N.C.;
Boardman;
Bob;
Bobbi-Kar;
Bobby-Alba;
Bocar;
Boes;
Bohanna;
Böhler;
Bohse;
Boissaye;
Boitel;
Bolide;
Bollée;
Bolwell;
Bond;
Bonet;
Bonnet;
Bonneville;
Borcharding;
Borderel-Cail;
Borgward;
Bory;
Bosley;
Boty’s;
Bouhey;
Boulet;
Bound;
Bour-Davis;
Bourgeois-Magnin;
Bourguignonne;
Bovy;
Bowen;
Bowler;
Bowser;
Bow-V-Car;
Boyer;
Bozier;
BPD;
Brabus;
Bradbury;
Bradford;
Bradley;
Bradwell;
Bramham;
Bramwell;
Bramwell-Robinson;
Brasier;
Brasinca;
Braun;
Bravo;
BRD;
Breese;
Breguet;
Brems;
Brennabor;
Brevetti;
Brewster;
Bricklin;
Brierre;
Briest-Armand;
Briggs;
Brilliance;
Brillié;
Briscoe;
